SLNO,Candidate Ref,Offer Date,DOJ Extended,Duration to accept offer,Notice period,Offered band,Current CTC,Expected CTC,Offered CTC,Negotiated CTC,Final CTC,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,LOB,Primary Skill,Previous Company Type,Location,Age,Status
32,2110032,2024-07-31,Yes,16,45,E2,18.02,27.15,23.37,,23.37,50.67,29.69,-13.92,No,No,Male,Naukri,6.2,Data,SQL,Product,Chennai,32,Accepted
33,2110033,2024-08-18,No,9,90,E2,7.02,10.69,9.82,10.28,10.28,52.28,39.89,-8.14,Yes,No,Male,Agency,4.3,INFRA,Network,Service,Chennai,28,Declined
34,2110034,2024-01-27,No,10,60,E2,8.31,10.96,12.49,13.41,13.41,31.89,50.3,13.96,No,No,Male,Employee Referral,4.1,Digital,Java Spring,Startup,Bangalore,26,Declined
35,2110035,2025-07-17,No,6,60,E3,19.05,23.3,28.47,30.95,30.95,22.31,49.45,22.19,No,Yes,Male,Naukri,12.4,ERS,VLSI,Product,Noida,40,Declined
36,2110036,2025-12-16,No,16,90,E3,18.01,20.36,25.47,,25.47,13.05,41.42,25.1,Yes,No,Other,Employee Referral,3.7,Data,Data Engineering,Product,Bangalore,29,Joined
37,2110037,2025-06-04,No,3,30,E2,14.64,17.51,19.33,21.33,21.33,19.6,32.04,10.39,Yes,No,Other,LinkedIn,5.3,Cloud,Azure,Service,Hyderabad,30,Declined
38,2110038,2025-04-11,No,17,30,E2,7.15,5.81,7.46,,7.46,-18.74,4.34,28.4,No,Yes,Male,Employee Referral,5.1,INFRA,VMware,Consulting,Kochi,30,Joined
39,2110039,2025-04-12,No,18,75,M2,44.27,40.86,57.82,,57.82,-7.7,30.61,41.51,No,No,Male,Employee Referral,11.5,Cloud,Kubernetes,Service,Chennai,34,Accepted
40,2110040,2024-10-21,No,2,30,E2,11.83,17.65,15.13,16.52,16.52,49.2,27.9,-14.28,No,No,Male,Employee Referral,3.7,Digital,Java Spring,Product,Pune,29,Joined
41,2110041,2024-09-03,No,16,30,M1,23.44,36.29,33.76,,33.76,54.82,44.03,-6.97,No,Yes,Male,Direct,11.0,SAP,SAP ABAP,Service,Kochi,35,Declined
42,2110042,2025-01-28,Yes,9,60,E2,17.9,21.93,25.83,,25.83,22.51,44.3,17.78,Yes,No,Male,Employee Referral,8.9,Cloud,Kubernetes,Service,Mumbai,31,Joined
43,2110043,2025-10-13,No,10,75,E2,11.18,12.37,17.09,,17.09,10.64,52.86,38.16,No,Yes,Male,Naukri,6.9,SAP,SAP FICO,Service,Noida,31,Declined
44,2110044,2025-05-08,No,6,45,E1,7.99,11.01,9.99,10.73,10.73,37.8,25.03,-9.26,No,Yes,Male,Employee Referral,2.1,Digital,Java Spring,Service,Mumbai,27,No Show
45,2110045,2024-04-20,No,1,75,M1,22.56,36.5,34.24,,34.24,61.79,51.77,-6.19,No,No,Male,Agency,8.5,Cybersecurity,SOC,Consulting,Pune,33,Declined
46,2110046,2025-07-07,No,6,75,E1,8.67,17.0,12.86,13.42,13.42,96.08,48.33,-24.35,Yes,Yes,Female,Campus,3.2,Cybersecurity,IAM,Consulting,Mumbai,27,No Show
47,2110047,2025-04-10,No,5,30,E1,5.76,8.21,5.92,6.57,6.57,42.53,2.78,-27.89,No,No,Male,LinkedIn,1.7,Digital,Python,Service,Mumbai,28,Declined
48,2110048,2024-06-27,No,15,90,M1,27.1,40.37,32.95,36.58,36.58,48.97,21.59,-18.38,No,Yes,Female,Direct,13.8,ERS,Embedded C,Captive,Kochi,39,Joined
49,2110049,2025-11-05,No,6,30,M2,35.18,50.05,42.44,,42.44,42.27,20.64,-15.2,No,Yes,Female,Employee Referral,10.6,Digital,Java Spring,Service,Hyderabad,38,Joined
50,2110050,2025-09-11,No,6,75,E2,6.96,9.25,9.21,9.98,9.98,32.9,32.33,-0.43,Yes,Yes,Male,LinkedIn,2.8,ERS,Embedded C,Service,Pune,25,Declined
51,2110051,2024-05-13,No,7,75,E1,4.26,6.42,6.75,,6.75,50.7,58.45,5.14,No,No,Male,Employee Referral,1.2,INFRA,Network,Service,Pune,27,Joined
52,2110052,2025-08-10,No,10,30,E3,21.47,26.6,31.96,34.7,34.7,23.89,48.86,20.15,No,No,Male,Naukri,8.1,Cybersecurity,SOC,Captive,Pune,30,Declined
53,2110053,2025-08-04,No,10,30,E2,11.19,14.8,14.95,16.04,16.04,32.26,33.6,1.01,Yes,Yes,Female,Naukri,6.5,ERS,VLSI,Service,Bangalore,33,Declined
54,2110054,2025-09-05,No,1,75,E3,11.44,16.32,17.24,17.78,17.78,42.66,50.7,5.64,No,No,Male,Naukri,8.2,Digital,React,Service,Kochi,29,Declined
55,2110055,2025-02-18,No,11,45,E2,13.7,22.04,17.49,19.14,19.14,60.88,27.66,-20.64,No,Yes,Male,Employee Referral,7.9,Cloud,Azure,Service,Kochi,33,Declined
56,2110056,2025-06-06,Yes,16,60,M1,15.57,21.64,23.87,,23.87,38.99,53.31,10.3,No,Yes,Male,Agency,7.2,INFRA,Windows Server,Consulting,Bangalore,31,Joined
57,2110057,2025-10-20,No,6,45,E2,14.83,24.16,25.36,,25.36,62.91,71.0,4.97,Yes,Yes,Female,Naukri,3.5,Cloud,DevOps,Captive,Hyderabad,26,Joined
58,2110058,2025-08-17,No,1,30,E1,7.68,10.23,10.53,11.04,11.04,33.2,37.11,2.93,Yes,Yes,Female,LinkedIn,3.8,Cybersecurity,IAM,Service,Pune,26,Joined
59,2110059,2025-01-31,No,4,30,E1,6.72,6.34,10.75,11.73,11.73,-5.65,59.97,69.56,No,No,Male,Employee Referral,1.0,ERS,IoT,Product,Kochi,24,Declined
60,2110060,2025-01-20,No,3,90,E2,10.35,13.39,13.21,14.75,14.75,29.37,27.63,-1.34,No,No,Female,LinkedIn,4.2,ERS,VLSI,Service,Bangalore,27,No Show
61,2110061,2025-09-24,No,7,45,E2,14.06,30.32,19.62,,19.62,115.65,39.54,-35.29,No,No,Female,LinkedIn,4.3,Digital,Java Spring,Service,Mumbai,27,Declined
62,2110062,2024-07-17,No,14,30,E1,7.26,10.13,10.84,11.87,11.87,39.53,49.31,7.01,No,No,Male,Naukri,2.3,Digital,React,Consulting,Kochi,28,Joined
63,2110063,2024-05-30,No,8,45,E1,4.59,7.52,7.27,8.03,8.03,63.83,58.39,-3.32,Yes,No,Male,Employee Referral,1.1,QA,Performance Testing,Product,Kochi,29,Declined
64,2110064,2025-12-13,No,7,75,E3,12.83,22.96,18.16,,18.16,78.96,41.54,-20.91,No,No,Male,Employee Referral,3.6,Cloud,Kubernetes,Service,Hyderabad,29,Joined
65,2110065,2025-10-09,No,11,90,E2,6.75,10.29,8.95,9.7,9.7,52.44,32.59,-13.02,No,No,Male,Agency,8.5,QA,Performance Testing,Service,Noida,30,Declined
66,2110066,2025-01-17,No,7,30,E1,9.07,14.48,12.17,,12.17,59.65,34.18,-15.95,No,No,Female,Employee Referral,3.0,Digital,Node.js,Product,Pune,26,Declined
67,2110067,2024-02-07,No,13,60,E3,10.36,16.57,14.89,,14.89,59.94,43.73,-10.14,No,Yes,Male,Naukri,6.0,INFRA,VMware,Captive,Chennai,31,Declined
68,2110068,2025-01-30,No,22,60,M1,33.22,43.17,54.16,58.79,58.79,29.95,63.03,25.46,No,Yes,Male,LinkedIn,9.6,Cloud,AWS,Consulting,Hyderabad,34,Joined
69,2110069,2025-09-21,No,7,90,E2,7.65,11.17,9.62,10.5,10.5,46.01,25.75,-13.88,No,No,Female,Naukri,5.0,QA,API Testing,Startup,Kochi,31,Joined
70,2110070,2025-01-14,No,11,30,E3,17.27,23.99,22.59,24.8,24.8,38.91,30.8,-5.84,No,Yes,Male,Employee Referral,7.6,ERS,Embedded C,Captive,Mumbai,34,Declined
71,2110071,2025-04-07,No,10,45,E1,6.51,8.64,8.72,,8.72,32.72,33.95,0.93,No,No,Female,Employee Referral,2.5,Digital,Node.js,Consulting,Pune,29,Accepted
72,2110072,2025-07-21,Yes,15,45,E2,15.9,18.64,18.34,,18.34,17.23,15.35,-1.61,No,No,Male,Agency,6.1,INFRA,VMware,Product,Mumbai,32,Joined
73,2110073,2024-02-26,No,13,75,E2,14.26,19.04,16.12,17.86,17.86,33.52,13.04,-15.34,Yes,No,Male,Direct,3.0,Digital,Java Spring,Startup,Bangalore,27,Declined
74,2110074,2025-11-05,Yes,12,60,M1,23.19,28.51,27.09,28.45,28.45,22.94,16.82,-4.98,No,No,Male,Naukri,13.1,Data,Power BI,Service,Chennai,39,Accepted
75,2110075,2024-03-02,Yes,6,60,E2,6.12,9.23,6.7,7.47,7.47,50.82,9.48,-27.41,No,No,Male,Agency,1.4,Cybersecurity,SOC,Consulting,Kochi,23,Declined
76,2110076,2025-09-22,No,17,60,E2,9.87,12.05,15.19,16.2,16.2,22.09,53.9,26.06,Yes,No,Male,Employee Referral,3.7,QA,Selenium,Startup,Hyderabad,29,Joined
77,2110077,2025-07-03,No,20,75,E1,7.3,10.53,7.45,7.86,7.86,44.25,2.05,-29.25,No,No,Other,Employee Referral,0.8,Digital,Node.js,Service,Noida,28,Joined
78,2110078,2025-02-07,No,22,90,E2,9.39,14.75,13.47,,13.47,57.08,43.45,-8.68,No,Yes,Female,Employee Referral,3.1,Digital,Node.js,Service,Mumbai,29,Declined
79,2110079,2025-05-16,No,9,60,E1,7.69,12.97,12.2,12.92,12.92,68.66,58.65,-5.94,No,No,Female,Employee Referral,0.8,Cybersecurity,IAM,Service,Chennai,30,Joined
80,2110080,2025-01-24,No,9,30,E2,9.22,10.24,9.4,,9.4,11.06,1.95,-8.2,No,No,Male,Direct,4.0,ERS,VLSI,Product,Hyderabad,28,Declined
81,2110081,2025-04-15,No,3,75,E2,7.22,10.41,9.49,,9.49,44.18,31.44,-8.84,No,No,Male,Employee Referral,8.7,ERS,Embedded C,Service,Chennai,36,No Show
82,2110082,2025-07-10,No,3,60,E3,15.17,19.77,17.41,,17.41,30.32,14.77,-11.94,No,No,Female,Direct,6.4,Cybersecurity,Penetration Testing,Service,Noida,32,Declined
83,2110083,2024-04-12,No,16,60,E1,7.46,9.35,8.97,9.81,9.81,25.34,20.24,-4.06,No,No,Male,Direct,0.8,Cybersecurity,IAM,Service,Hyderabad,29,Joined
84,2110084,2024-02-08,No,6,75,E3,13.33,20.45,17.17,,17.17,53.41,28.81,-16.04,No,No,Male,Direct,4.8,INFRA,Network,Service,Bangalore,27,Declined
85,2110085,2024-07-16,No,23,60,E3,14.37,19.32,21.41,,21.41,34.45,48.99,10.82,Yes,No,Male,LinkedIn,7.6,Digital,Java Spring,Consulting,Kochi,31,Joined
86,2110086,2024-09-11,No,17,45,E2,7.14,11.77,8.14,,8.14,64.85,14.01,-30.84,No,Yes,Male,Naukri,3.8,QA,API Testing,Captive,Mumbai,29,Joined
87,2110087,2024-08-12,No,11,45,E2,10.59,16.44,10.8,,10.8,55.24,1.98,-34.31,Yes,Yes,Male,Naukri,8.9,QA,API Testing,Service,Hyderabad,33,Declined
88,2110088,2025-06-01,No,7,45,E2,8.16,9.13,9.47,,9.47,11.89,16.05,3.72,No,No,Male,Direct,4.7,QA,API Testing,Captive,Pune,31,Declined
89,2110089,2024-08-11,Yes,11,30,E3,15.0,21.19,17.13,,17.13,41.27,14.2,-19.16,No,No,Male,Agency,7.1,Digital,Node.js,Service,Kochi,34,Declined
90,2110090,2025-01-21,No,6,30,M1,20.01,31.02,30.66,,30.66,55.02,53.22,-1.16,Yes,Yes,Male,Direct,6.3,Cybersecurity,SOC,Service,Noida,30,Declined
91,2110091,2024-02-02,No,11,45,E1,12.31,16.66,16.47,17.18,17.18,35.34,33.79,-1.14,No,No,Male,LinkedIn,2.8,Digital,Node.js,Product,Bangalore,29,Declined
92,2110092,2025-08-12,No,5,30,E3,14.12,16.55,20.26,,20.26,17.21,43.48,22.42,Yes,Yes,Male,LinkedIn,11.7,ERS,Autosar,Service,Chennai,37,Declined
93,2110093,2025-03-02,No,3,60,E3,26.3,29.14,32.91,,32.91,10.8,25.13,12.94,No,Yes,Male,Direct,4.3,Cybersecurity,IAM,Product,Hyderabad,31,No Show
94,2110094,2024-07-14,No,1,30,E2,8.27,10.66,10.91,11.35,11.35,28.9,31.92,2.35,No,No,Male,Employee Referral,1.4,Digital,Python,Startup,Chennai,24,Declined
95,2110095,2025-07-19,No,10,45,E3,17.34,23.78,29.44,32.97,32.97,37.14,69.78,23.8,No,No,Female,LinkedIn,8.8,ERS,Embedded C,Startup,Chennai,34,Joined
96,2110096,2024-10-29,No,13,75,E2,11.78,16.79,17.7,19.58,19.58,42.53,50.25,5.42,No,No,Female,LinkedIn,4.8,QA,API Testing,Product,Hyderabad,29,Joined
97,2110097,2024-02-04,Yes,1,75,E3,16.05,22.25,21.62,,21.62,38.63,34.7,-2.83,No,No,Male,Direct,7.5,SAP,SAP MM,Service,Pune,33,No Show
98,2110098,2025-06-26,Yes,13,45,E1,7.13,8.43,8.27,,8.27,18.23,15.99,-1.9,No,No,Female,Naukri,4.9,ERS,Embedded C,Service,Pune,30,Joined
99,2110099,2024-11-03,No,8,30,E2,12.5,20.37,16.47,,16.47,62.96,31.76,-19.15,No,No,Male,Naukri,5.4,Data,SQL,Captive,Noida,27,Accepted
100,2110100,2025-12-09,No,6,45,E3,8.52,10.91,10.28,,10.28,28.05,20.66,-5.77,No,Yes,Female,LinkedIn,6.6,ERS,Embedded C,Service,Pune,30,Declined
101,2110101,2024-05-23,No,5,60,M1,31.37,51.53,47.95,51.61,51.61,64.27,52.85,-6.95,No,Yes,Female,Direct,8.6,ERS,Embedded C,Product,Mumbai,32,No Show
102,2110102,2025-11-07,No,8,90,E1,4.37,6.06,5.73,6.41,6.41,38.67,31.12,-5.45,No,No,Male,Employee Referral,2.6,INFRA,VMware,Service,Bangalore,28,Declined
103,2110103,2024-12-28,Yes,8,45,E1,7.75,10.78,10.04,10.37,10.37,39.1,29.55,-6.86,No,No,Male,Employee Referral,2.2,Data,Power BI,Service,Mumbai,29,Joined
104,2110104,2024-09-14,Yes,15,45,E2,13.2,17.26,19.13,20.46,20.46,30.76,44.92,10.83,Yes,No,Male,Employee Referral,5.0,Cybersecurity,GRC,Service,Bangalore,27,Joined
105,2110105,2025-02-11,Yes,13,90,E3,13.32,19.32,19.36,,19.36,45.05,45.35,0.21,No,Yes,Female,Employee Referral,10.5,QA,Selenium,Consulting,Pune,34,Joined
106,2110106,2025-02-22,Yes,6,90,E1,5.42,8.19,8.49,9.28,9.28,51.11,56.64,3.66,No,Yes,Female,Naukri,2.8,QA,Selenium,Service,Hyderabad,29,No Show
107,2110107,2024-09-11,No,1,90,E2,7.8,10.63,9.74,,9.74,36.28,24.87,-8.37,No,No,Female,Naukri,5.2,Data,Power BI,Captive,Hyderabad,29,No Show
108,2110108,2024-04-17,Yes,6,45,E2,6.62,7.77,8.07,8.55,8.55,17.37,21.9,3.86,No,No,Female,Naukri,5.0,ERS,IoT,Service,Kochi,28,Joined
109,2110109,2024-09-06,No,20,45,E3,10.28,15.89,12.98,14.16,14.16,54.57,26.26,-18.31,No,No,Male,Agency,4.1,INFRA,Linux Admin,Service,Kochi,33,Joined
110,2110110,2025-07-03,No,11,75,E2,17.73,27.06,21.86,22.31,22.31,52.62,23.29,-19.22,No,Yes,Male,Employee Referral,9.4,Cybersecurity,GRC,Service,Pune,31,Declined
111,2110111,2024-11-08,No,10,75,E3,10.69,17.79,11.79,,11.79,66.42,10.29,-33.73,No,No,Female,LinkedIn,7.0,QA,Manual Testing,Consulting,Hyderabad,33,Declined
112,2110112,2024-01-10,No,11,90,E3,17.42,28.03,22.99,,22.99,60.91,31.97,-17.98,No,No,Male,LinkedIn,6.8,Digital,Python,Service,Pune,33,Declined
113,2110113,2024-10-01,No,6,30,E2,12.23,17.44,16.76,,16.76,42.6,37.04,-3.9,No,No,Male,Employee Referral,4.0,SAP,SAP Basis,Captive,Pune,29,Joined
114,2110114,2025-08-25,No,13,45,E3,10.83,13.23,14.79,,14.79,22.16,36.57,11.79,No,Yes,Female,LinkedIn,6.1,Cybersecurity,SOC,Consulting,Kochi,31,Declined
115,2110115,2025-02-25,No,9,60,E1,10.35,18.8,13.4,,13.4,81.64,29.47,-28.72,No,No,Female,Employee Referral,3.8,SAP,SAP MM,Service,Noida,25,No Show
116,2110116,2025-01-12,No,7,75,E1,5.65,7.67,8.56,,8.56,35.75,51.5,11.6,No,No,Male,Employee Referral,4.5,Digital,React,Service,Chennai,34,Joined
117,2110117,2024-02-17,No,18,90,E2,9.76,11.64,12.32,,12.32,19.26,26.23,5.84,No,No,Male,Naukri,2.7,ERS,Embedded C,Startup,Mumbai,28,Joined
118,2110118,2024-06-18,No,21,75,E2,8.08,12.57,12.45,13.86,13.86,55.57,54.08,-0.95,No,Yes,Other,Agency,0.8,QA,Manual Testing,Product,Bangalore,28,Joined
119,2110119,2024-11-02,No,15,90,E3,31.2,43.56,47.27,48.84,48.84,39.62,51.51,8.52,No,Yes,Female,Agency,10.0,Cloud,Kubernetes,Service,Mumbai,35,Joined
120,2110120,2025-03-15,No,14,45,E2,16.66,19.11,24.8,,24.8,14.71,48.86,29.77,Yes,No,Male,Agency,4.6,Digital,React,Startup,Bangalore,31,Joined
121,2110121,2025-08-31,No,5,30,E2,12.92,20.49,14.28,14.64,14.64,58.59,10.53,-30.31,No,No,Male,LinkedIn,5.4,Data,SQL,Product,Chennai,31,No Show
122,2110122,2025-05-28,No,8,45,E2,15.6,21.59,20.92,21.89,21.89,38.4,34.1,-3.1,No,No,Male,Campus,6.0,ERS,VLSI,Product,Hyderabad,34,Declined
123,2110123,2024-09-07,No,1,90,E3,19.56,29.59,21.27,,21.27,51.28,8.74,-28.12,No,No,Female,LinkedIn,6.3,SAP,SAP ABAP,Service,Mumbai,29,Declined
124,2110124,2024-04-30,No,10,45,E3,15.65,24.88,20.4,,20.4,58.98,30.35,-18.01,Yes,No,Female,Naukri,8.8,QA,Manual Testing,Service,Hyderabad,35,Joined
125,2110125,2024-01-13,No,14,75,E2,16.27,21.08,25.41,,25.41,29.56,56.18,20.54,Yes,No,Female,Naukri,6.1,SAP,SAP FICO,Product,Noida,30,Joined
126,2110126,2025-06-12,No,6,75,E3,22.97,34.83,29.84,,29.84,51.63,29.91,-14.33,No,Yes,Male,Campus,5.8,SAP,SAP MM,Product,Chennai,30,Declined
127,2110127,2024-06-03,No,7,30,M1,21.31,23.26,28.28,,28.28,9.15,32.71,21.58,No,No,Male,Campus,13.4,INFRA,Windows Server,Service,Kochi,37,Declined
128,2110128,2025-06-16,No,21,75,E2,10.66,16.58,15.34,16.4,16.4,55.53,43.9,-7.48,No,No,Female,Direct,2.2,Cloud,DevOps,Consulting,Mumbai,29,Joined
129,2110129,2025-08-21,Yes,16,90,E1,4.67,6.96,7.17,7.91,7.91,49.04,53.53,3.02,No,Yes,Female,Agency,0.8,QA,Manual Testing,Captive,Noida,28,Joined
130,2110130,2024-12-30,No,5,60,M1,26.78,44.33,39.54,43.12,43.12,65.53,47.65,-10.81,No,No,Female,LinkedIn,13.2,QA,Performance Testing,Consulting,Hyderabad,38,Declined
131,2110131,2025-08-19,No,10,90,E3,12.88,16.57,20.87,,20.87,28.65,62.03,25.95,No,Yes,Male,Agency,5.2,Data,Data Engineering,Service,Kochi,30,Joined
132,2110132,2024-10-08,No,8,60,E2,11.38,20.12,16.32,17.83,17.83,76.8,43.41,-18.89,No,Yes,Female,Naukri,9.0,INFRA,Linux Admin,Captive,Bangalore,30,Declined
133,2110133,2024-12-18,No,12,60,E2,9.47,10.69,13.28,,13.28,12.88,40.23,24.23,No,No,Female,Employee Referral,4.8,ERS,Autosar,Product,Mumbai,33,Joined
134,2110134,2024-02-27,No,13,60,E1,6.48,6.99,8.23,,8.23,7.87,27.01,17.74,No,Yes,Male,LinkedIn,2.7,SAP,SAP FICO,Service,Chennai,29,Joined
135,2110135,2024-08-26,No,5,60,M1,15.51,14.95,18.15,20.31,20.31,-3.61,17.02,21.4,Yes,No,Female,Agency,6.6,SAP,SAP FICO,Service,Kochi,26,Declined
136,2110136,2024-12-10,No,9,60,M1,17.59,23.78,22.96,24.63,24.63,35.19,30.53,-3.45,Yes,Yes,Male,Employee Referral,9.2,QA,Manual Testing,Service,Hyderabad,33,Declined
137,2110137,2025-08-04,No,27,90,E2,9.85,12.37,12.17,13.25,13.25,25.58,23.55,-1.62,No,No,Male,LinkedIn,5.5,Digital,Python,Service,Kochi,31,Joined
138,2110138,2024-04-20,No,8,45,E1,9.48,14.19,10.48,,10.48,49.68,10.55,-26.15,No,No,Other,Naukri,3.7,Cloud,AWS,Service,Pune,31,Declined
139,2110139,2025-01-19,No,12,30,E3,7.05,8.72,9.49,,9.49,23.69,34.61,8.83,No,No,Male,LinkedIn,5.8,QA,Performance Testing,Service,Chennai,30,Joined
140,2110140,2024-10-31,No,11,45,M1,17.96,27.52,24.56,,24.56,53.23,36.75,-10.76,No,No,Male,Direct,7.4,INFRA,VMware,Startup,Noida,32,Declined
141,2110141,2025-01-14,No,7,90,E3,13.12,21.35,20.2,22.19,22.19,62.73,53.96,-5.39,Yes,No,Male,LinkedIn,6.1,QA,Selenium,Service,Bangalore,31,No Show
142,2110142,2025-03-04,No,12,45,M1,19.28,29.34,27.48,,27.48,52.18,42.53,-6.34,No,No,Male,Employee Referral,10.3,QA,Manual Testing,Captive,Hyderabad,36,Joined
